,dialog_idx,utterance_idx,text,speaker,file_path,emotion,act
0,0_0,0,I'm figuring out my budget.,0,./data/dailytalk/dailyTalk/audio_files/0_0_0.wav,no emotion,inform
1,0_0,1,Umm…. What budget?,1,./data/dailytalk/dailyTalk/audio_files/0_0_1.wav,no emotion,question
2,0_0,2,"I'm making a shopping budget, so that I don't spend too much money.",0,./data/dailytalk/dailyTalk/audio_files/0_0_2.wav,no emotion,inform
3,0_0,3,How much money can you spend?,1,./data/dailytalk/dailyTalk/audio_files/0_0_3.wav,no emotion,question
4,0_0,4,I can only spend three hundred dollars a month.,0,./data/dailytalk/dailyTalk/audio_files/0_0_4.wav,no emotion,inform
5,0_0,5,Why only three hundred dollars?,1,./data/dailytalk/dailyTalk/audio_files/0_0_5.wav,no emotion,question
6,0_0,6,I need to save the rest.,0,./data/dailytalk/dailyTalk/audio_files/0_0_6.wav,no emotion,inform
7,0_0,7,For what?,1,./data/dailytalk/dailyTalk/audio_files/0_0_7.wav,no emotion,question
8,0_0,8,I need to pay my bills.,0,./data/dailytalk/dailyTalk/audio_files/0_0_8.wav,no emotion,inform
9,0_0,9,Your budget is a good idea.,1,./data/dailytalk/dailyTalk/audio_files/0_0_9.wav,happiness,inform
10,10_0,0,How are you doing?,1,./data/dailytalk/dailyTalk/audio_files/10_0_0.wav,no emotion,question
11,10_0,1,Not bad. What about you?,0,./data/dailytalk/dailyTalk/audio_files/10_0_1.wav,no emotion,question
12,10_0,2,I'm just a little tired.,1,./data/dailytalk/dailyTalk/audio_files/10_0_2.wav,no emotion,inform
13,10_0,3,Why?,0,./data/dailytalk/dailyTalk/audio_files/10_0_3.wav,no emotion,question
14,10_0,4,I have a lot of work to do in the company recently.,1,./data/dailytalk/dailyTalk/audio_files/10_0_4.wav,no emotion,inform
15,10_0,5,How is your family?,0,./data/dailytalk/dailyTalk/audio_files/10_0_5.wav,no emotion,question
16,10_0,6,"Pretty fine, thanks.",1,./data/dailytalk/dailyTalk/audio_files/10_0_6.wav,no emotion,inform
17,10_0,7,Where are you going now?,0,./data/dailytalk/dailyTalk/audio_files/10_0_7.wav,no emotion,question
18,11_0,0,We planned our wedding for next May.,0,./data/dailytalk/dailyTalk/audio_files/11_0_0.wav,no emotion,inform
19,11_0,1,Why so late? Didn’t she want to get married this October?,1,./data/dailytalk/dailyTalk/audio_files/11_0_1.wav,no emotion,question
20,11_0,2,"Yeah, I did. But my fiancee has an important project.",0,./data/dailytalk/dailyTalk/audio_files/11_0_2.wav,no emotion,inform
21,11_0,3,"That’s really a shame. By the way, who will be the bridesmaid?",1,./data/dailytalk/dailyTalk/audio_files/11_0_3.wav,no emotion,question
22,11_0,4,"Julie’s friend, Mary. And John will be the best man.",0,./data/dailytalk/dailyTalk/audio_files/11_0_4.wav,happiness,inform
23,11_0,5,Wow! I’m very excited about your ceremony.,1,./data/dailytalk/dailyTalk/audio_files/11_0_5.wav,happiness,inform
24,12_0,0,I just had a terrible week.,1,./data/dailytalk/dailyTalk/audio_files/12_0_0.wav,sadness,inform
25,12_0,1,What a shame!,0,./data/dailytalk/dailyTalk/audio_files/12_0_1.wav,no emotion,inform
26,12_0,2,I fell down and hurt my arm.,1,./data/dailytalk/dailyTalk/audio_files/12_0_2.wav,sadness,inform
27,12_0,3,That's too bad.,0,./data/dailytalk/dailyTalk/audio_files/12_0_3.wav,no emotion,inform
28,12_0,4,Then my son drove into a tree.,1,./data/dailytalk/dailyTalk/audio_files/12_0_4.wav,sadness,inform
29,12_0,5,I'm sorry to hear that.,0,./data/dailytalk/dailyTalk/audio_files/12_0_5.wav,no emotion,inform
30,12_0,6,The dog bit the delivery boy.,1,./data/dailytalk/dailyTalk/audio_files/12_0_6.wav,sadness,inform
31,12_0,7,What a pity!,0,./data/dailytalk/dailyTalk/audio_files/12_0_7.wav,no emotion,inform
32,12_0,8,And a storm blew our roof away.,1,./data/dailytalk/dailyTalk/audio_files/12_0_8.wav,sadness,inform
33,12_0,9,"Ho, no!",0,./data/dailytalk/dailyTalk/audio_files/12_0_9.wav,no emotion,inform
34,4_0,0,Can you teach me how to do make-up?,0,./data/dailytalk/dailyTalk/audio_files/4_0_0.wav,no emotion,question
35,4_0,1,"Of course. First, use eye shadow to heighten your eyes.",1,./data/dailytalk/dailyTalk/audio_files/4_0_1.wav,no emotion,inform
36,4_0,2,What eye shadow do you think is the most fit for me?,0,./data/dailytalk/dailyTalk/audio_files/4_0_2.wav,no emotion,question
37,4_0,3,I think pink eye shadow is popular among Chinese people.,1,./data/dailytalk/dailyTalk/audio_files/4_0_3.wav,no emotion,inform
38,4_0,4,How do you protect yourself from chapped lips?,0,./data/dailytalk/dailyTalk/audio_files/4_0_4.wav,no emotion,question
39,4_0,5,"I suggest you use lipstick, which also accentuates your lips.",1,./data/dailytalk/dailyTalk/audio_files/4_0_5.wav,no emotion,inform
40,4_0,6,How did you grow such long nails?,0,./data/dailytalk/dailyTalk/audio_files/4_0_6.wav,no emotion,question
41,4_0,7,You have to pay attention to trimming them from time to time.,1,./data/dailytalk/dailyTalk/audio_files/4_0_7.wav,no emotion,inform
42,5_0,0,"Excuse me, could you tell me where you have got that music book?",0,./data/dailytalk/dailyTalk/audio_files/5_0_0.wav,no emotion,directive
43,5_0,1,"Certainly. Let me see. Oh, it's on that shelf.",1,./data/dailytalk/dailyTalk/audio_files/5_0_1.wav,happiness,commissive
44,5_0,2,"Uh, it's too high. I can't reach it. Could you help me?",0,./data/dailytalk/dailyTalk/audio_files/5_0_2.wav,no emotion,directive
45,5_0,3,Of course. Here you are.,1,./data/dailytalk/dailyTalk/audio_files/5_0_3.wav,happiness,commissive
46,8_0,0,"Eh, I am looking for a porter, do you know where I can find one?",1,./data/dailytalk/dailyTalk/audio_files/8_0_0.wav,no emotion,question
47,8_0,1,There are so many here. The men with red hats are the porters.,0,./data/dailytalk/dailyTalk/audio_files/8_0_1.wav,no emotion,inform
48,8_0,2,What's the charge?,1,./data/dailytalk/dailyTalk/audio_files/8_0_2.wav,no emotion,question
49,8_0,3,"Well, it depends how many pieces of luggages you have.",0,./data/dailytalk/dailyTalk/audio_files/8_0_3.wav,no emotion,inform
50,9_0,0,"Oh, it's for my brother. The little boy over there. He is getting a carsickness.",1,./data/dailytalk/dailyTalk/audio_files/9_0_0.wav,no emotion,inform
51,9_0,1,Poor boy! But don't worry. Here are two pills made in Germany. It's really effective. He will be just fine.,0,./data/dailytalk/dailyTalk/audio_files/9_0_1.wav,no emotion,inform
52,100_0,0,"Yes, traffic wasn't much today, so I made it to the office earlier.",1,./data/dailytalk/dailyTalk/audio_files/100_0_0.wav,no emotion,inform
53,100_0,1,I see. How long does it take you to reach the office every day?,0,./data/dailytalk/dailyTalk/audio_files/100_0_1.wav,no emotion,question
54,100_0,2,"Well, about an hour or so.",1,./data/dailytalk/dailyTalk/audio_files/100_0_2.wav,no emotion,inform
55,100_0,3,"Wow, that’s quite a long journey. Do you drive a car?",0,./data/dailytalk/dailyTalk/audio_files/100_0_3.wav,no emotion,question
56,100_1,0,You are right! But I get up a little late. That gives me no other option but to travel by motorcycle.,0,./data/dailytalk/dailyTalk/audio_files/100_1_0.wav,no emotion,inform
57,100_1,1,"Well, both have advantages and disadvantages.",1,./data/dailytalk/dailyTalk/audio_files/100_1_1.wav,no emotion,inform
58,102_0,0,How can I travel by air?,1,./data/dailytalk/dailyTalk/audio_files/102_0_0.wav,no emotion,question
59,102_0,1,Have you traveled by air before?,0,./data/dailytalk/dailyTalk/audio_files/102_0_1.wav,no emotion,question
60,102_0,2,"No, this is the first time.",1,./data/dailytalk/dailyTalk/audio_files/102_0_2.wav,no emotion,inform
61,102_0,3,Let me tell you. First you must buy a ticket.,0,./data/dailytalk/dailyTalk/audio_files/102_0_3.wav,no emotion,directive
62,102_0,4,"Yes, I know.",1,./data/dailytalk/dailyTalk/audio_files/102_0_4.wav,no emotion,commissive
63,102_0,5,Then you must go to the airport.,0,./data/dailytalk/dailyTalk/audio_files/102_0_5.wav,no emotion,directive
64,102_0,6,Is that all?,1,./data/dailytalk/dailyTalk/audio_files/102_0_6.wav,no emotion,question
65,102_0,7,Not Yet. Listen to me. Don't forget to take your ID card with you.,0,./data/dailytalk/dailyTalk/audio_files/102_0_7.wav,no emotion,directive
66,102_0,8,What's an ID card?,1,./data/dailytalk/dailyTalk/audio_files/102_0_8.wav,no emotion,question
67,102_0,9,Something like a passport.,0,./data/dailytalk/dailyTalk/audio_files/102_0_9.wav,no emotion,inform
68,102_0,10,Can I board the plane now?,1,./data/dailytalk/dailyTalk/audio_files/102_0_10.wav,no emotion,question
69,102_0,11,"No, you also need a boarding pass.",0,./data/dailytalk/dailyTalk/audio_files/102_0_11.wav,no emotion,inform
70,103_0,0,"May, umm...  is this the Hall of Ancient China?",0,./data/dailytalk/dailyTalk/audio_files/103_0_0.wav,no emotion,question
71,103_0,1,"Yes. Look at these historical relics here, amazing!",1,./data/dailytalk/dailyTalk/audio_files/103_0_1.wav,happiness,inform
72,103_0,2,Why are they all in glass boxes?,0,./data/dailytalk/dailyTalk/audio_files/103_0_2.wav,no emotion,question
73,103_0,3,For protection. Some relics will turn to dust if exposed to air.,1,./data/dailytalk/dailyTalk/audio_files/103_0_3.wav,no emotion,inform
74,103_0,4,So there isn't air in the glass boxes?,0,./data/dailytalk/dailyTalk/audio_files/103_0_4.wav,no emotion,question
75,103_0,5,"No, there isn't. There is a vacuum in every box.",1,./data/dailytalk/dailyTalk/audio_files/103_0_5.wav,no emotion,inform
76,103_0,6,I wonder how old these things are. Thousands of years?,0,./data/dailytalk/dailyTalk/audio_files/103_0_6.wav,no emotion,question
77,103_0,7,"Yeah, they all come from a very ancient time.",1,./data/dailytalk/dailyTalk/audio_files/103_0_7.wav,happiness,inform
78,103_0,8,"Hey, look at the tripod. I've seen it on TV.",0,./data/dailytalk/dailyTalk/audio_files/103_0_8.wav,happiness,inform
79,103_0,9,It was made four thousand years ago. It's priceless!,1,./data/dailytalk/dailyTalk/audio_files/103_0_9.wav,happiness,inform
80,104_0,0,"I always love skiing. You know, it's a cool game for cool people. Stay with me and you will be cool, too.",1,./data/dailytalk/dailyTalk/audio_files/104_0_0.wav,happiness,directive
81,104_0,1,"Hey, look over there. Umm it seems that there is something interesting going on. Let's go and have a look.",0,./data/dailytalk/dailyTalk/audio_files/104_0_1.wav,happiness,directive
82,104_1,0,You are right. But what if the avalanche happened?,0,./data/dailytalk/dailyTalk/audio_files/104_1_0.wav,no emotion,question
83,104_1,1,They are all very experienced and great skiers. So I suppose the chance for them to be buried by an avalanche is slim.,1,./data/dailytalk/dailyTalk/audio_files/104_1_1.wav,no emotion,inform
84,106_0,0,"Sorry, I don't know, there's something wrong with my watch.",1,./data/dailytalk/dailyTalk/audio_files/106_0_0.wav,no emotion,inform
85,106_0,1,"You've simply forgotten to wind it up, have you? When do you usually wind it up?",0,./data/dailytalk/dailyTalk/audio_files/106_0_1.wav,no emotion,question
86,106_1,0,"Well, I'm setting my watch at four. Thank you.",1,./data/dailytalk/dailyTalk/audio_files/106_1_0.wav,happiness,inform
87,106_1,1,You are welcome.,0,./data/dailytalk/dailyTalk/audio_files/106_1_1.wav,happiness,inform
88,108_0,0,Send an ambulance fast! My husband is having a heart attack!,1,./data/dailytalk/dailyTalk/audio_files/108_0_0.wav,no emotion,directive
89,108_0,1,Slow down and tell me your address.,0,./data/dailytalk/dailyTalk/audio_files/108_0_1.wav,no emotion,commissive
90,108_0,2,"I live on one one seven seven Oak lane in Smithfield. Oh, hurry, I don't know what to do!",1,./data/dailytalk/dailyTalk/audio_files/108_0_2.wav,no emotion,inform
91,108_0,3,An ambulance is on its way right now. They should be there any minute. Are you close to him right now?,0,./data/dailytalk/dailyTalk/audio_files/108_0_3.wav,no emotion,question
92,108_0,4,"Yes, yes, he's right here by me.",1,./data/dailytalk/dailyTalk/audio_files/108_0_4.wav,no emotion,inform
93,108_0,5,Is he breathing?,0,./data/dailytalk/dailyTalk/audio_files/108_0_5.wav,no emotion,question
94,110_1,0,That's so kind of you. Thank you very much!,1,./data/dailytalk/dailyTalk/audio_files/110_1_0.wav,happiness,commissive
95,110_1,1,You're welcome. Now smile...,0,./data/dailytalk/dailyTalk/audio_files/110_1_1.wav,happiness,inform
96,111_0,0,Quite good except thinking of you so much.,0,./data/dailytalk/dailyTalk/audio_files/111_0_0.wav,happiness,inform
97,111_0,1,So do I. You are a beautiful flower in my mind.,1,./data/dailytalk/dailyTalk/audio_files/111_0_1.wav,happiness,inform
98,112_0,0,My wife and I didn't used to spend this much money.,0,./data/dailytalk/dailyTalk/audio_files/112_0_0.wav,no emotion,inform
99,112_0,1,What's changed?,1,./data/dailytalk/dailyTalk/audio_files/112_0_1.wav,no emotion,question
100,112_0,2,My wife has been pregnant for seven months.,0,./data/dailytalk/dailyTalk/audio_files/112_0_2.wav,no emotion,inform
101,112_0,3,I see. I guess diapers and baby food are expensive. Bringing up children is not easy.,1,./data/dailytalk/dailyTalk/audio_files/112_0_3.wav,no emotion,inform
102,112_0,4,My wife will be going back to work soon.,0,./data/dailytalk/dailyTalk/audio_files/112_0_4.wav,no emotion,inform
103,112_0,5,You should have more money then.,1,./data/dailytalk/dailyTalk/audio_files/112_0_5.wav,no emotion,inform
104,118_0,0,Jake just broke up with me.,1,./data/dailytalk/dailyTalk/audio_files/118_0_0.wav,sadness,inform
105,118_0,1,I'm sorry. When did this happen?,0,./data/dailytalk/dailyTalk/audio_files/118_0_1.wav,no emotion,question
106,118_0,2,Yesterday. I didn't even know it was coming. He just told me he found someone else.,1,./data/dailytalk/dailyTalk/audio_files/118_0_2.wav,sadness,inform
107,118_0,3,What a jerk. He doesn't deserve you.,0,./data/dailytalk/dailyTalk/audio_files/118_0_3.wav,no emotion,inform
108,118_0,4,But it still hurts. I thought I loved him.,1,./data/dailytalk/dailyTalk/audio_files/118_0_4.wav,sadness,inform
109,118_0,5,"He didn't treat you that well either. Maybe you don't want to hear this, but I think you can do better.",0,./data/dailytalk/dailyTalk/audio_files/118_0_5.wav,no emotion,inform
110,118_0,6,"Better or worse, it doesn't matter. I had a lot of feelings for him. I really liked him",1,./data/dailytalk/dailyTalk/audio_files/118_0_6.wav,sadness,inform
111,118_0,7,It must be really painful. I remember when Sophie and I broke up. I was crying for a week.,0,./data/dailytalk/dailyTalk/audio_files/118_0_7.wav,no emotion,inform
112,118_0,8,I know. I'll get over him. My first break up was painful because I was naive.,1,./data/dailytalk/dailyTalk/audio_files/118_0_8.wav,sadness,inform
113,118_0,9,Exactly. You'll find someone again. You should get your mind off of this. Let's go shopping.,0,./data/dailytalk/dailyTalk/audio_files/118_0_9.wav,no emotion,directive
114,118_0,10,Maybe tomorrow. I don't feel like it tonight.,1,./data/dailytalk/dailyTalk/audio_files/118_0_10.wav,no emotion,commissive
115,118_0,11,How about coffee down the street?,0,./data/dailytalk/dailyTalk/audio_files/118_0_11.wav,no emotion,directive
116,119_0,0,"Oh, I have been with my uncle for a week.",0,./data/dailytalk/dailyTalk/audio_files/119_0_0.wav,no emotion,inform
117,119_0,1,What’s he doing?,1,./data/dailytalk/dailyTalk/audio_files/119_0_1.wav,no emotion,question
118,119_0,2,He is an accountant. I have been helping him for a week.,0,./data/dailytalk/dailyTalk/audio_files/119_0_2.wav,no emotion,inform
119,119_0,3,He must be happy.,1,./data/dailytalk/dailyTalk/audio_files/119_0_3.wav,no emotion,inform
120,121_0,0,"Hey, Mike. Can I ask you something?",1,./data/dailytalk/dailyTalk/audio_files/121_0_0.wav,no emotion,directive
121,121_0,1,"Sure, what's up?",0,./data/dailytalk/dailyTalk/audio_files/121_0_1.wav,no emotion,question
122,121_0,2,I'm going to gamble on the world cup tonight. Who do you think will win?,1,./data/dailytalk/dailyTalk/audio_files/121_0_2.wav,no emotion,question
123,121_0,3,Good question. Umm but I have to think about it.,0,./data/dailytalk/dailyTalk/audio_files/121_0_3.wav,no emotion,inform
124,121_0,4,My husband is betting on France.,1,./data/dailytalk/dailyTalk/audio_files/121_0_4.wav,no emotion,inform
125,121_0,5,France? Is he crazy?,0,./data/dailytalk/dailyTalk/audio_files/121_0_5.wav,no emotion,question
126,121_0,6,What do you mean?,1,./data/dailytalk/dailyTalk/audio_files/121_0_6.wav,no emotion,question
127,121_0,7,"Well, how can I put this? France is a terrible team.",0,./data/dailytalk/dailyTalk/audio_files/121_0_7.wav,no emotion,inform
128,122_1,0,No. We’ll meet at my house. He invited my family to spend the weekend with his family at their villa.,1,./data/dailytalk/dailyTalk/audio_files/122_1_0.wav,no emotion,inform
129,122_1,1,That's nice. Where is his villa?,0,./data/dailytalk/dailyTalk/audio_files/122_1_1.wav,no emotion,question
130,122_1,2,"It's not his villa, but his father's. I think it's somewhere in Florida. I am not sure myself.",1,./data/dailytalk/dailyTalk/audio_files/122_1_2.wav,no emotion,inform
131,122_1,3,Sometimes I envy you a lot. Tom is a good guy.,0,./data/dailytalk/dailyTalk/audio_files/122_1_3.wav,no emotion,inform
132,125_0,0,"As a matter of fact, he hasn't been feeling too well.",1,./data/dailytalk/dailyTalk/audio_files/125_0_0.wav,no emotion,inform
133,125_0,1,I'm sorry to hear that. What's the matter?,0,./data/dailytalk/dailyTalk/audio_files/125_0_1.wav,no emotion,question
134,125_0,2,Tell him I hope he's better soon.,1,./data/dailytalk/dailyTalk/audio_files/125_0_2.wav,happiness,inform
135,125_0,3,I'll tell him. Thanks for asking about him.,0,./data/dailytalk/dailyTalk/audio_files/125_0_3.wav,happiness,inform
136,126_0,0,Can you show me how to use chopsticks?,1,./data/dailytalk/dailyTalk/audio_files/126_0_0.wav,no emotion,directive
137,126_0,1,With pleasure.,0,./data/dailytalk/dailyTalk/audio_files/126_0_1.wav,happiness,commissive
138,126_0,2,"Oh, it is not easy to learn!",1,./data/dailytalk/dailyTalk/audio_files/126_0_2.wav,no emotion,inform
139,126_0,3,I think you are a quick learner.,0,./data/dailytalk/dailyTalk/audio_files/126_0_3.wav,no emotion,inform
140,126_0,4,"Well, I don't think I can manage with it.",1,./data/dailytalk/dailyTalk/audio_files/126_0_4.wav,no emotion,inform
141,126_0,5,"In that case, shall I ask the waiter to bring you a knife and fork?",0,./data/dailytalk/dailyTalk/audio_files/126_0_5.wav,no emotion,directive
